sentence,clause
"Henry S. Huntington Jr., a former Presbyterian minister and a pioneer in the nudism movement in the United States, died Friday at the Unitarian-Universalist House in Philadelphia, where he lived.", a former Presbyterian minister and a pioneer in the nudism movement in the United States
"Karen Ann Quinlan, who slipped into a coma 10 years ago and became the center of a national debate on the definition of life and the right to die, died yesterday at a nursing home in Morris Plains, N.J. She was 31 years old.", who slipped into a coma 10 years ago and became the center of a national debate on the definition of life and the right to die
"Dr. Thomas C. McGinnis, a psychotherapist, writer and radio commentator, died of lung cancer Monday at his home in Fair Lawn, N.J.", a psychotherapist
"William Demarest, who played dozens of gruff, golden-hearted curmudgeons in films and on television, died at his home in Palm Springs, Calif., yesterday, apparently of a heart attack.", who played dozens of gruff
"J. Paul Austin, the retired chairman of the Coca-Cola Company, who introduced Coke to mainland China in 1978, died yesterday at his home in Atlanta, Ga., after a long illness.", the retired chairman of the Coca-Cola Company
"Natica Nast Warburg, widow of Gerald Felix Warburg, the cellist, died last Friday at New York Hospital after a long illness.", widow of Gerald Felix Warburg
"Ivan D. Serbin, a Communist Party official in charge of the defense and space program since the late 1950's, has died at the age of 70, the newspaper Pravda said today.", a Communist Party official in charge of the defense and space program since the late 1950's
"Bernard B. Brandt, a co-founder and president of the Brandt Theaters chain, died of a heart attack Monday in New York City.", a co-founder and president of the Brandt Theaters chain
"Sara Haden, who played crotchety characters during her Hollywood career, died last Tuesday at the Motion Picture and Television Country House and Hospital in Woodland Hills.", who played crotchety characters during her Hollywood career
"Mrs. Ruth T. Costantino, president of Connoisseur Inc., an art gallery at 717 Madison Avenue, and one of the first women to be a dealer in fine arts in America, died Sunday.", president of Connoisseur Inc.
"Lynn A. Williams, a Chicago lawyer and industrialist who distinguished himself as a founder of the Great Books Foundation, a Democratic maverick and a prominent yachtsman, died Sunday at Evanston Hospital of complications after a heart attack.", a Chicago lawyer and industrialist who distinguished himself as a founder of the Great Books Foundation
"Harvey Stephens, a longtime character actor who appeared on Broadway and in films, died Monday at the Saddleback Medical Center.", a longtime character actor who appeared on Broadway and in films
"Xiao Hua, former chief political commissar of the Chinese armed forces, died here today, the New China News Agency announced.", former chief political commissar of the Chinese armed forces
"Peter Testan, an early ham-radio operator and a former officer and chief engineer of radio stations WBBC in Brooklyn and WVNJ in Newark, died April 18 at Morristown (N.J.) Memorial Hospital.", an early ham-radio operator and a former officer and chief engineer of radio stations WBBC in Brooklyn and WVNJ in Newark
"Sister Margaret Rosaire Healey, an educator and administrator who for 80 years was a member of the Sisters of Charity, died Thursday at St. Joseph's Medical Center in Yonkers.", an educator and administrator who for 80 years was a member of the Sisters of Charity
"Kazuo Tashima, founder and chairman of the Minolta Camera Company, died of kidney failure Tuesday night at a hospital in Kobe, his family said today.", founder and chairman of the Minolta Camera Company
"Sigurd S. Larmon, who as chairman of Young & Rubicam from 1944 to 1962 was a leading figure in advertising, died Thursday at the Courtland Gardens Health Center in Stamford, Conn.", who as chairman of Young & Rubicam from 1944 to 1962 was a leading figure in advertising
"Paul Levinger, former president of the Speidel Corporation, died yesterday at his home after a four-year illness.", former president of the Speidel Corporation
"Dr. Mortimer B. Lipsett, director of the National Institute of Arthritis, Diabetes, Digestive and Kidney Diseases, died of cancer Sunday at the Magnuson Clinical Center of the National Institutes of Health.", director of the National Institute of Arthritis
"Serge Lifar, the colorful, internationally known dancer and choreographer who, as director of the Paris Opera Ballet, was considered the chief architect of modern French ballet, died Monday in Lausanne, Switzerland.", the colorful
"Robert M. Ellis, a former management consultant in Manhattan and a former career officer in the British Navy, died Thursday at the Northern Westchester Hospital in Mount Kisco, N.Y.", a former management consultant in Manhattan and a former career officer in the British Navy
"Dr. Robert J. Kibbee, the chancellor of the City University of New York, died at his home in Manhattan Wednesday night at the age of 60.", the chancellor of the City University of New York
"Alan J. Freedman, chairman of the board and president of Ketcham & McDougall Inc. and a leading figure in New York City cultural affairs, died of a heart attack yesterday at his home on Central Park West.", chairman of the board and president of Ketcham & McDougall Inc. and a leading figure in New York City cultural affairs
"Harold H. Tittmann Jr., a career diplomat and former Ambassador, died yesterday at his home in Manchester, N.H., where he moved from Washington five years ago.", a career diplomat and former Ambassador
"Turk Murphy, a trombonist and founding father of the traditional jazz revival that began in the San Francisco area in the 1940's, died of cancer Saturday at his home in San Francisco.", a trombonist and founding father of the traditional jazz revival that began in the San Francisco area in the 1940's
